Class of Vehicle,Make/Manufa. Name,Model,Country,Fuel Used,Cylinder Capacity,District,Registration Status,YOM,No of vehicle,Model_Code,Clean_Name
CAR,PERODUA,BEZZA,MALAYSIA,PETROL,998.0,KALUTARA,BRAND NEW,2025.0,7,,BEZZA
CAR,TOYOTA,A250RA-GBVV RAIZE,INDONESIA,PETROL,998.0,GAMPAHA,BRAND NEW,2025.0,115,,A250RA-GBVV RAIZE
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,996.0,GALLE,RECONDITIONED,2024.0,5,3BA-A210A,RAIZE
CAR,SUZUKI,3BD-DA17V EVERY,JAPAN,PETROL,658.0,COLOMBO,RECONDITIONED,2024.0,8,3BD-DA17V,EVERY
CAR,SUZUKI,5BA-MH85S  WAGON R,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,2024.0,2,5BA-MH85S,WAGON R
CAR,TOYOTA,3BA-TRJ150W  PRADO,JAPAN,PETROL,2693.0,KURUNEGALA,RECONDITIONED,2023.0,2,3BA-TRJ150W,PRADO
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,996.0,GALLE,RECONDITIONED,2023.0,6,3BA-A210A,RAIZE
CAR,WULING,BINGUO,INDONESIA,ELECTRIC,49.0,COLOMBO,BRAND NEW,2025.0,30,,BINGUO
CAR,WULING,BINGUO,INDONESIA,ELECTRIC,49.0,KURUNEGALA,BRAND NEW,2025.0,3,,BINGUO
CAR,DAIHATSU,5BA-LA350S MIRA,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,2023.0,12,5BA-LA350S,MIRA
CAR,BYD,DOLPHIN-DYNAMIC49,CHINA,ELECTRIC,49.0,KANDY,BRAND NEW,2025.0,1,,DOLPHIN-DYNAMIC49
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,2025.0,18,5AA-MH95S,WAGON R
CAR,SUZUKI,5AA-MH95S WAGON R,JAPAN,PETROL,658.0,PUTTALAM,RECONDITIONED,2025.0,3,5AA-MH95S,WAGON R
CAR,SUZUKI,5BD-DA17V EVERY,JAPAN,PETROL,658.0,GAMPAHA,RECONDITIONED,2023.0,11,5BD-DA17V,EVERY
CAR,TOYOTA,3BA-A210A RAIZE,JAPAN,PETROL,996.0,COLOMBO,RECONDITIONED,2024.0,34,3BA-A210A,RAIZE
